sleep_quality,exercise_minutes,hours_worked,social_interactions,work_load_score,heart_rate,stress_level
4,30,40,5,3,72,0
5,45,35,7,2,68,0
3,15,50,3,6,85,1
2,5,60,1,8,95,2
4,25,45,4,4,78,0
5,60,30,6,1,65,0
3,20,55,2,7,90,1
1,0,70,0,10,105,2
4,35,42,5,3,75,0
5,50,38,6,2,69,0
3,10,52,3,7,88,1
2,20,58,1,9,98,2
4,30,48,4,5,80,0
5,55,36,7,1,66,0
3,25,47,2,6,92,1
1,10,65,0,9,102,2
4,40,41,5,3,73,0
5,48,39,6,2,70,0
3,18,53,3,7,86,1
2,8,62,1,8,96,2
4,32,46,4,4,77,0
5,58,34,7,1,67,0
3,28,49,2,6,93,1
1,5,68,0,10,104,2
4,28,44,5,3,76,0
5,52,37,6,2,71,0
3,15,51,3,7,89,1
2,12,59,1,9,97,2
4,38,43,4,4,79,0
5,45,39,7,1,68,0
3,22,48,2,6,91,1
1,8,66,0,9,100,2
4,35,40,5,3,74,0
5,50,32,6,2,65,0
3,10,55,3,7,87,1
2,5,63,1,8,94,2
4,25,50,4,4,78,0
5,60,35,7,1,64,0
3,15,57,2,6,90,1
1,0,72,0,10,106,2
4,30,45,5,3,75,0
5,45,40,6,2,70,0
3,18,50,3,7,85,1
2,10,60,1,8,95,2
4,28,42,4,4,77,0
5,55,38,7,1,67,0
3,20,47,2,6,92,1
1,12,65,0,9,103,2
4,33,41,5,3,73,0
5,50,36,6,2,69,0
3,15,53,3,7,88,1
2,8,62,1,8,98,2
4,29,46,4,4,78,0
5,58,34,7,1,66,0
3,23,49,2,6,93,1
1,5,68,0,10,104,2
4,27,44,5,3,76,0
5,51,37,6,2,71,0
3,17,51,3,7,89,1
2,11,59,1,9,97,2
4,37,43,4,4,79,0
5,47,39,7,1,68,0
3,21,48,2,6,91,1
1,7,66,0,9,100,2
4,34,40,5,3,74,0
5,49,32,6,2,65,0
3,14,55,3,7,87,1
2,6,63,1,8,94,2
4,26,50,4,4,78,0
5,59,35,7,1,64,0
3,18,57,2,6,90,1
1,2,72,0,10,106,2
4,31,45,5,3,75,0
5,46,40,6,2,70,0
3,19,50,3,7,85,1
2,10,60,1,8,95,2
4,28,42,4,4,77,0
5,56,38,7,1,67,0
3,22,47,2,6,92,1
1,10,65,0,9,103,2
4,36,41,5,3,73,0
5,51,36,6,2,69,0
3,16,53,3,7,88,1
2,9,62,1,8,98,2
4,30,46,4,4,78,0
5,58,34,7,1,66,0
3,24,49,2,6,93,1
1,6,68,0,10,104,2
4,29,44,5,3,76,0
5,53,37,6,2,71,0
3,18,51,3,7,89,1
2,12,59,1,9,97,2
